,time,variable,value,iteration,name
124,2020-02-20 22:57:22.391207500,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
125,2020-02-20 22:57:23.397178000,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
126,2020-02-20 22:57:24.398141250,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
127,2020-02-20 22:57:25.388563250,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
128,2020-02-20 22:57:26.398349000,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
129,2020-02-20 22:57:27.394291750,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
130,2020-02-20 22:57:28.392545750,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
131,2020-02-20 22:57:29.396097250,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
132,2020-02-20 22:57:30.390849250,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
133,2020-02-20 22:57:31.395000500,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
134,2020-02-20 22:57:32.404292250,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
135,2020-02-20 22:57:33.396488250,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
136,2020-02-20 22:57:34.397261500,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
137,2020-02-20 22:57:35.394141750,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
138,2020-02-20 22:57:36.396033250,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
